"sales_review","positive","negative","net_tone","Buyer","Seller","Date","rating","price_USD","review_text","meta_category"
1,1,-1,0,"Cello","acidboypcm","8/27/2017",-5,294,"Do NOT trust this guy, never received package and no replies! ","Weed"
2,1,-2,-1,"DesertEagle69","acidboypcm","10/3/2017",-5,1019,"No package, no response. Don't trust.","Weed"
3,0,-2,-2,"borisblyat914","acidboypcm","8/31/2017",-5,448,"No package and no messages back","Weed"
4,5,0,5,"cambodia2017","acidboypcm","5/25/2017",5,440,"very good thank you","Opium"
5,0,0,0,"32aB97","acidboypcm","8/24/2017",-5,433,"NEver received ored vendor never responds","Analgesics"
6,0,0,0,"swolenguns1","acidboypcm","6/27/2017",5,715,"Packaged well and shipped fast. Thumbs up!","Analgesics"
7,5,0,5,"wubbalubbadubdub","acidboypcm","6/5/2017",5,407,"Well, it took a couple weeks, but was well worth the wait.  You can't get the real deal in America and this is the real deal folks.  Still have to try it but the smell has been confirmed by friends.  Acidboy is a solidly good guy!","Opium"
8,2,0,2,"arye0007","acidboypcm","6/2/2017",4,482,"Better late than never","Opium"
9,0,0,0,"GoHobo909","acidboypcm","9/24/2017",-1,333,"I bought from him and payed for express delivery and it's been almost a month and I NEVER received it","Heroin"
10,0,-1,-1,"bobittNCHS","acidboypcm","9/19/2017",-5,272,"its been 28 days, nothing has arrived, no answers to messages","Tapentadol"
11,2,0,2,"LennySquiggs","acidboypcm","8/6/2017",-5,393,"i didn't recieve my delivery. Vendor will not respond to my messages. As of now, would not recommend you buy from them.","Loreazepam"
12,0,0,0,"32aB97","acidboypcm","8/29/2017",-5,236,"Order never received vendor never responds","Tramadol"
13,3,0,3,"interdose38","acidboypcm","6/10/2017",5,314,"Order arrived in good time, and the packaging was ingenious. Props to your creativity! ","Tapentadol"
14,0,0,0,"32aB97","acidboypcm","8/27/2017",-5,244,"Never received order vendor never replies ","Tramadol"
15,0,0,0,"32aB97","acidboypcm","9/5/2017",-5,300,"Order never received vendor never replies","Tramadol"
16,3,0,3,"freda154","acidboypcm","4/26/2017",5,702,"Exactly as decribed. Very happy!","Tapentadol"
17,3,0,3,"Jjrosk","acidboypcm","6/15/2017",5,733,"Good communication","Loreazepam"
18,3,0,3,"freda154","acidboypcm","6/16/2017",5,693,"Great customer service","Tapentadol"
19,0,-1,-1,"Battleship1","acidboypcm","5/14/2017",0,495,"Never got my stuff and didn't get confirmation of order being cancelled until way after I was supposed to get my stuff ","Tramadol"
20,6,0,6,"sexmachine","AliExpresssss","10/6/2017",5,65,"Fantastic stealth, speedy and prompt delivery. Thanks a million will order plenty more from this vendor!!!","Ecstasy"
21,6,0,6,"kikinimod","AliExpresssss","1/3/2018",5,111,"very good stuff, very fast delivery Great !","Heroin"
22,6,0,6,"MattyMoo45","AliExpresssss","12/5/2017",5,19,"Fantastic. Honest vendor.","Heroin"
23,3,0,3,"hollywood","AliExpresssss","9/25/2017",5,249,"Good stealth","Heroin"
24,6,0,6,"kikinimod","AliExpresssss","1/10/2018",5,199,"The stuff is really good and the shipping very fast. All good !","Heroin"
25,3,-6,-3,"Sharpei","AliExpresssss","9/22/2017",5,62,"Very good vendor ! i had problem with reception of my order, nerver receiveid. i wait a moment, and tell my problem to him. He responded to me vety quickly, very serious, and fix the problem in less 2 days. You can trut him, and place your orders !","Heroin"
26,3,0,3,"kinimod","AliExpresssss","12/4/2017",5,58,"product perfect !","Heroin"
27,0,0,0,"l3fts0ck","AliExpresssss","11/12/2017",5,39,"Arrived maybe a few days less than two weeks after ordered (I'm in the US so as expected) Product is legit. Will definitely order more.","Heroin"
28,7,0,7,"PortCityGuy72","AliExpresssss","12/18/2017",5,19,"Very honest and accommodating. Resolves any issues with speed and understanding. Best H vendor Ive found on three markets ","Heroin"
29,5,0,5,"kinimod","AliExpresssss","12/4/2017",5,115,"all perfect, like always !","Heroin"
30,3,0,3,"Milagre","AliExpresssss","9/4/2017",5,344,"Excellent Seller","Heroin"
31,6,0,6,"kinimod","AliExpresssss","10/6/2017",5,747,"fast delivery, very good stuff all perfect !","Heroin"
32,6,0,6,"Milagre","AliExpresssss","9/9/2017",5,395,"Excellent product, Great Professional!","Heroin"
33,5,0,5,"kavan","AliExpresssss","11/8/2017",5,88,"PERFECT !!!!!! Thanks . ","Heroin"
34,0,0,0,"Ashbury9999tess","AliExpresssss","10/9/2017",5,50,"Quick delivery.","Heroin"
35,0,-2,-2,"Dillbert84","AliExpresssss","12/7/2017",-5,42,"Use another vendor. This one is a scam. Ordered was shipped Dec 8th. I never received it and vendor refuses to do anything about it   AliExpress guarantees delivery unless youre a new customer. ","Heroin"
36,5,0,5,"kikinimod","AliExpresssss","9/8/2017",5,226,"Thanks ! All is just perfect !","Heroin"
37,3,0,3,"brandnewshape","AliExpresssss","1/8/2018",5,43,"PERFECT !","Heroin"
38,5,0,5,"brandnewshape","AliExpresssss","1/4/2018",5,45,"Perfect, as always !!! Top Seller !!!","Heroin"
39,2,0,2,"brandnewshape","AliExpresssss","12/9/2017",5,43,"well receivbed this time, thank you ! ","Heroin"
40,3,0,3,"brandnewshape","AliExpresssss","12/5/2017",5,57,"PERFECT ! As Always !","Heroin"
41,4,-6,-2,"brandnewshape","AliExpresssss","11/30/2017",5,106,"ORDER NEVER RECEIVED. SHIPPED A SECOND TIME BY THE SELLER BUT NEVER RECEIVED. BAD EXPERIENCE THIS TIME DESPITE MY TRUST IN THAT GREAT SELLER !!! TOO BAD...","Heroin"
42,3,0,3,"brandnewshape","AliExpresssss","11/2/2017",5,93,"PERFECT !","Heroin"
43,6,0,6,"azax666","AliExpresssss","12/17/2017",5,84,"Good vendor, fast communication & really good product. will come back for sure ;)","Heroin"
44,6,0,6,"azax666","AliExpresssss","12/5/2017",5,57,"fast shipping. Good quality. Nice order thkx","Heroin"
45,6,0,6,"mindtBuyer","AliExpresssss","11/12/2017",5,45,"quick delivery. awesome stuff. thanks bro!","Heroin"
46,5,0,5,"mindtBuyer","AliExpresssss","10/11/2017",5,68,"Super quick delivery. Thank you!","Heroin"
47,8,0,8,"balanovo","AliExpresssss","11/12/2017",5,113,"I am very happy! Excellent job! Thank you!","Heroin"
48,6,0,6,"balanovo","AliExpresssss","10/10/2017",5,48,"Simply perfect. I'm very happy. Reccomend it! ","Heroin"
49,3,0,3,"CaptComp","AliExpresssss","11/21/2017",5,201,"Good quality and fast shiipping","Heroin"
50,0,0,0,"andy63","AliExpresssss","1/25/2018",5,30,"my orfer was sent on friday and arrived in uk wednesday.","Heroin"
51,2,-1,1,"andy63","AliExpresssss","11/28/2017",5,23,"No feedbacgod size cooks for iv very clean. will see you again for larger amountk.","Heroin"
52,3,0,3,"kinimod","AliExpresssss","10/31/2017",5,263,"Very good stuff !","Heroin"
53,0,-1,-1,"ChildSound","AliExpresssss","11/25/2017",-5,211,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
54,0,-1,-1,"ChildSound","AliExpresssss","11/25/2017",-5,191,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
55,0,-1,-1,"ChildSound","AliExpresssss","11/25/2017",-5,191,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
56,6,0,6,"ChildSound","AliExpresssss","11/15/2017",5,137,"Perfect quality, fast shipping.... Very good vendor, know i have not received, but i know its come soon","Heroin"
57,9,0,9,"ChildSound","AliExpresssss","10/25/2017",5,286,"Perfect quality, food price!!! A perfect vendor. The order arrived me fast. When you buy by him, you are happy about this!!!","Heroin"
58,6,0,6,"ChildSound","AliExpresssss","10/21/2017",5,55,"all perfect, one of the best vendor on sr","Heroin"
59,9,-9,0,"johnnyappleseed74","AliExpresssss","1/13/2018",5,32,"GREAT VENDOR! IM IN THE U.S. TOOK 14 DAYS :( BUT WORTH THE WAIT. WARNING TO MY U.S. PPL THIS IS H#3 NOT LIKE ANYTHING WE HAVE HERE, MUST BE BROKEN DOWN WITH ACID(vitamin C/citric/lemon juice) TO SHOOT. BUT QUALITY IS FUCKING RUTHLESS. BIG PROPS COMRADE ALI","Heroin"
60,3,0,3,"rvodden","AliExpresssss","11/7/2017",5,44,"Best on DN.","Heroin"
61,2,0,2,"JayTheMan001","AliExpresssss","9/29/2017",5,55,"Couldn't be happier! Thank you","Heroin"
62,3,0,3,"puffpaff","AliExpresssss","10/22/2017",5,77,"Very Good Stealth..fast shipped.. I come back!!","Heroin"
63,7,0,7,"hilltribe","AliExpresssss","6/29/2017",3,180,"is good but i need stronger, needs 4 working days to Austria maybe you can make me a offer with more strong.","Heroin"
64,11,0,11,"MattyMoo45","AliExpresssss","11/7/2017",5,47," Great quality. Great deal. Excellent vendor. Highly recommended. :-)","Heroin"
65,3,0,3,"kikinimod","AliExpresssss","9/18/2017",5,417,"very good !","Heroin"
66,3,0,3,"kikinimod","AliExpresssss","12/27/2017",5,85,"All very very good ! I recommand !","Heroin"
67,8,0,8,"kinimod","AliExpresssss","10/16/2017",5,288,"All perfect like usual ! You're the best on the SR !","Heroin"
68,11,0,11,"kikinimod","AliExpresssss","9/29/2017",5,236,"all good: stuff very good value for money, fast shipping, nice seller which communicates! I definitely recommend!","Heroin"
69,2,0,2,"kikinimod","AliExpresssss","10/1/2017",5,77,"tip top !","Heroin"
70,3,0,3,"Volkmann220369","AliExpresssss","12/26/2017",5,22,"Good Stuff, fast delivery !!! ","Heroin"
71,3,0,3,"kinimod","AliExpresssss","1/6/2018",5,61,"All perfect I highly recommand !","Heroin"
72,3,0,3,"kinimod","AliExpresssss","11/17/2017",5,136,"just perfect !","Cocaine"
73,0,-2,-2,"PortCityGuy72","AliExpresssss","11/8/2017",5,46,"Fast shipping but crushed on arrival","Cocaine"
74,3,0,3,"schmidt","AliExpresssss","12/6/2017",5,82,"excellent","Cocaine"
75,3,0,3,"kinimod","AliExpresssss","11/11/2017",5,159,"everything perfect stuff & price, timing","Cocaine"
76,3,0,3,"moxxnation82","AliExpresssss","11/30/2017",5,109,"nice and quick.","Cocaine"
77,5,0,5,"mindtBuyer","AliExpresssss","10/11/2017",5,108,"Fast delivery. Smells nice. Thank you! ","Cocaine"
78,3,0,3,"kinimod","AliExpresssss","11/1/2017",5,230,"Everything perfect, as usual","Cocaine"
79,3,0,3,"brandnewshape","AliExpresssss","11/2/2017",5,75,"Perfect !","Cocaine"
80,3,0,3,"power88","AliExpresssss","11/9/2017",5,73,"all good ","Cocaine"
81,6,-2,4,"user1234321","AliExpresssss","10/8/2017",5,120,"no doubt best seller quick delivery this vendor is a legend with good product ","Cocaine"
82,3,0,3,"schmidt","AliExpresssss","1/11/2018",5,40,"excellent","Cocaine"
83,3,0,3,"xanadu338","AliExpresssss","9/17/2017",5,90,"Arrived in 8 days. Pleased so far.","Cocaine"
84,1,0,1,"kinimod","AliExpresssss","1/16/2018",5,88,"cool !","Cocaine"
85,3,0,3,"ministraspirmininkas","AliExpresssss","11/10/2017",5,50,"Good!","Cocaine"
86,11,-5,6,"midnightoker420","AliExpresssss","9/20/2017",5,398,"This was the best experience I have had on the road yet. Seller is extremely responsive and package came very discreetinyl wrapped in 2 days! No funny businness and fatted the hell out of it. Bless this man.","Cocaine"
87,5,0,5,"schmidt","AliExpresssss","11/6/2017",5,146,"all fine, good contact!","Cocaine"
88,3,0,3,"schmidt","AliExpresssss","11/22/2017",5,129,"great contact","Cocaine"
89,1,0,1,"guy1961","AliExpresssss","9/2/2017",-5,227,"paid for product never came and vendor does not answer any message , this vendor is a scammer never trust this vendor again.","Cocaine"
90,2,0,2,"schmidt","AliExpresssss","11/28/2017",5,107,"all top","Cocaine"
91,3,0,3,"schmidt","AliExpresssss","12/18/2017",5,85,"excellent as always","Cocaine"
92,5,0,5,"schmidt","AliExpresssss","10/23/2017",5,179,"excellent seller, fast delivery, thank you!","Cocaine"
93,0,-3,-3,"puffpaff","AliExpresssss","10/30/2017",-1,173," real bad action","Cocaine"
94,2,0,2,"anonymous31","AliExpresssss","12/3/2017",5,29,"Serious and honest seller","Cocaine"
95,3,0,3,"d723ks8","AliExpresssss","10/19/2017",5,59,"Perfect","Cocaine"
96,3,0,3,"darkium","AliExpresssss","10/10/2017",-5,282,"fast and great","Cocaine"
97,0,0,0,"darkium","AliExpresssss","10/31/2017",-5,214,"never received","Cocaine"
98,5,-4,1,"hybrid101","AliExpresssss","10/3/2017",5,491,"Top quality shit. good stealth","Cocaine"
99,6,-2,4,"kinimod","AliExpresssss","12/8/2017",5,69,"Stuff very good, like always. AliExpressss is understanding in case of problems and manages to find a solution","Cocaine"
100,3,0,3,"kikinimod","AliExpresssss","10/3/2017",5,244,"all very good !","Cocaine"
101,9,0,9,"kukoc7","AliExpresssss","11/26/2017",5,36,"Packaging really good, delivery time really fast and coke good for the price !! Great professional ","Cocaine"
102,0,0,0,"Ligabue01","AliExpresssss","10/24/2017",5,96,"fast shipment","Cocaine"
103,3,0,3,"karbonkel","AliExpresssss","12/28/2017",5,117,"quick and good packaging","Cocaine"
104,3,0,3,"Malex","AliExpresssss","9/24/2017",5,88,"Fast delivery. Perfect vendor!","Cocaine"
105,3,-6,-3,"Sharpei","AliExpresssss","9/22/2017",5,89,"Very good vendor ! i had problem with reception of my order, nerver receiveid. i wait a moment, and tell my problem to him. He responded to me vety quickly, very serious, and fix the problem in less 2 days. You can trut him, and place your orders !","Cocaine"
106,6,0,6,"MattyMoo45","AliExpresssss","12/5/2017",5,28,"Fantastic. Honest and reliable vendor.","Cocaine"
107,3,0,3,"AL666","AliExpresssss","10/23/2017",5,27,"good vendor,fast delivery","MDMA"
108,2,0,2,"kormakunt","AliExpresssss","12/17/2017",5,19,"Thank you. Took about 2 weeks to arrived over christmas.  Discreetly packaged.  Yet to sample goods ","MDMA"
109,3,0,3,"Deerfield","AliExpresssss","11/2/2017",5,58,"Nice guy","MDMA"
110,3,0,3,"Microdemon","AliExpresssss","6/17/2017",5,187,"Quick delivery, Stealth 12/10. Great quality.","MDMA"
111,0,0,0,"BabaoRhum","AliExpresssss","12/6/2017",-5,13,"SCAMMER","MDMA"
112,3,0,3,"lysergikhaze","AliExpresssss","11/23/2017",5,19,"good product and fast shipment","MDMA"
113,0,-2,-2,"GhostLucy","AliExpresssss","11/20/2017",-1,86,"Scam. Never shipped anything. ","MDMA"
114,3,0,3,"chris1776","AliExpresssss","11/26/2017",5,97,"Good Stealth/Weight, Tested","MDMA"
115,6,-1,5,"gustavos","AliExpresssss","12/28/2017",5,11,"You get what you pay for! Very good product, stealth was great +++","MDMA"
116,3,0,3,"moxxnation82","AliExpresssss","11/19/2017",5,26,"2dd really really nice stuff","MDMA"
117,3,0,3,"sexycouple","AliExpresssss","12/17/2017",3,9,"great communication...... still not recieved yet after 25+ days","MDMA"
118,12,0,12,"BigDawgs","AliExpresssss","11/25/2017",4,130,"Ordered Nov 25th and just got my pack after a re-ship of half my original order. But the product IS Excellent! Very impressed! THANK YOU! Amazing MDMA!","MDMA"
119,0,0,0,"jackal","AmericanPlug","6/24/2017",5,168,"fast shipping     a+ vendor","Weed"
120,3,0,3,"Tortilla69","AmericanPlug","6/29/2017",5,479,"great vendor","Xanax"
121,4,0,4,"JFP35410","Amsterdam2015","1/5/2018",5,80,"Serious seller with strong quality! thank you","Heroin"
122,3,0,3,"bloodline8888","Amsterdam2015","1/8/2018",4,49,"Not as good quality as usual.","Heroin"
123,3,0,3,"bloodline8888","Amsterdam2015","1/8/2018",5,49,"Quality isnt as good as first order","Heroin"
124,5,0,5,"Mooktor","Amsterdam2015","1/11/2018",5,29,"Fast and very good product, like abitude","Heroin"
125,3,0,3,"Sharpei","Amsterdam2015","9/2/2017",5,49,"Very good product, vendor serious","Heroin"
126,3,0,3,"PortCityGuy72","Amsterdam2015","10/16/2017",-5,39,"Extremely untrustworthy vendor. Even went as far as to say he communicated when there was none. Have found two other very reliable vendors with top quality product. Feel free to pm me for recommendations but definitely stay away from this guy. ","Heroin"
127,3,0,3,"bloodline8888","Amsterdam2015","12/19/2017",5,25,"good stuff, fast shipping","Heroin"
128,7,0,7,"debsoner","Amsterdam2015","12/4/2017",5,19,"best there is.. and amazing shipping method ;)","Heroin"
129,3,0,3,"silverfish393","Amsterdam2015","5/9/2017",5,510,"delivery took a bit longer than usual, but as always good stuff","Heroin"
130,6,0,6,"silverfish393","Amsterdam2015","5/25/2017",5,2149,"All perfect, I love this vendor.","Heroin"
131,2,0,2,"StandingOvation","Amsterdam2015","11/29/2017",5,176,"Thanks for all mate!","Heroin"
132,10,0,10,"stopnu","Amsterdam2015","5/22/2017",5,202,"very fast delivery. secure mail. and good stuff. we're happy. thanks","Heroin"
133,3,0,3,"MKU1986","Amsterdam2015","10/19/2017",5,143,"The best!","Heroin"
134,3,0,3,"MKU1986","Amsterdam2015","10/25/2017",5,659,"The best there is!","Heroin"
135,4,0,4,"asilva","Amsterdam2015","11/26/2017",5,23,"Top service as usual. Can't be better !","Heroin"
136,3,-2,1,"kavan","Amsterdam2015","1/25/2018",5,68,"Delivery Speed:As always excellent ,Product Quality:Really very poor quality,it is not pure","Heroin"
137,2,0,2,"kavan","Amsterdam2015","1/13/2018",5,54,"Goede kwalitatieve producten + Snelle levering...thank you so much ","Heroin"
138,5,0,5,"kavan","Amsterdam2015","11/19/2017",5,100," Excellent, thank you","Heroin"
139,6,0,6,"Siddharta","Amsterdam2015","1/21/2018",5,20,"Great stuff, fast delivery and perfect stealth, as always. :)","Heroin"
140,6,0,6,"Siddharta","Amsterdam2015","6/5/2017",5,81,"Fast delivery, perfect stealth, all good :)","Heroin"
141,15,0,15,"AL666","Amsterdam2015","10/21/2017",5,134,"perfect as usual! i have buy many time with this vendor and everytime perfect! good product,good stealth, fast delivery! you can trust him! will buy again! thanks","Heroin"
142,6,0,6,"Siddharta","Amsterdam2015","10/7/2017",5,50,"Great stuff, delivery in time and impressive stealth.","Heroin"
143,6,0,6,"jamezexe43","Amsterdam2015","9/27/2017",5,57,"Super stealth, good quality for the price. came in 15 days instead of 14, because of thanksgiving","Heroin"
144,5,0,5,"kavan","Amsterdam2015","1/13/2018",5,16,"Perfect Man ,Thank You","Heroin"
145,6,0,6,"donfresch","Amsterdam2015","1/22/2018",5,21,"very good very fast  excellent","Heroin"
146,3,0,3,"kavan","Amsterdam2015","10/21/2017",5,136,"Dank je wel ,echt super ...","Heroin"
147,16,0,16,"Doolittle934","Amsterdam2015","6/28/2017",5,87,"Wow!  Really impressed, super fast shipping, awesome stealth, high quality.  I highly recommend!  A++","Heroin"
148,3,0,3,"Rudy100","Amsterdam2015","5/29/2017",-5,933,"Wasn't happy with my purchase it was also quick","Heroin"
149,3,0,3,"DrainingTheSwamp","Amsterdam2015","1/14/2018",5,137,"The best on SR!","Heroin"
150,6,0,6,"lee8419","Amsterdam2015","1/7/2018",5,13,"Arrived in UK after just 2 days. Great seller good gear would def buy again","Heroin"
151,0,0,0,"brandnewshape","Amsterdam2015","11/2/2017",5,113,"Order 50% Re-shipped and well received this time !","Heroin"
152,2,0,2,"StandingOvation","Amsterdam2015","11/20/2017",5,452,"All ok as usual! Thanks mate!","Heroin"
153,5,0,5,"kavan","Amsterdam2015","11/30/2017",5,82,"Realy Fast Delivery And Excellent quality Thanks","Heroin"
154,2,0,2,"fagerino","Amsterdam2015","5/25/2017",5,352,"very reliable, helpful & a speedy delivery!","Heroin"
155,3,-2,1,"Heroine","Amsterdam2015","6/7/2017",5,80,"Fast shipping, this time is different batch than ast time, Not as good, quite harsh smoke, really dark in colour, gets you high but really rough smoke","Heroin"
156,2,0,2,"JayTheMan001","Amsterdam2015","9/28/2017",5,106,"Thank you bro","Heroin"
157,3,0,3,"fuinha32","Amsterdam2015","4/23/2017",5,358,"very good","Heroin"
158,8,0,8,"jrcc","Amsterdam2015","1/3/2018",5,182,"I can only recommend, great service. Good quality of the goods.","Heroin"
159,3,0,3,"galfieg","Amsterdam2015","11/27/2017",5,83,"excellent price and quality.","Heroin"
160,5,0,5,"winston1666","Amsterdam2015","4/5/2017",5,197,"great product and service thanks!!!","Heroin"
161,3,0,3,"scarzo","Amsterdam2015","12/17/2017",5,101,"Fast delivery. Good quality.","Heroin"
162,2,0,2,"WundoMorph","Amsterdam2015","5/6/2017",5,148,"will buy again, 10 days to US. Thanks!","Heroin"
163,5,0,5,"ziyouliu1","Amsterdam2015","6/24/2017",5,300,"a comfortable vendor. the best shipping","Heroin"
164,6,0,6,"oxyfiend","Amsterdam2015","8/11/2017",5,59,"Just recieved package, everything wound up perfect. It took a bit longer than expected at 16 days, but i suppose thats normal coming all the way from the netherlands to the US. Great vendor, def will be ordering more soon.","Heroin"
165,0,0,0,"Heroine","Amsterdam2015","5/8/2017",5,145,"Received  days after ordering. Got my gouch on ecent quality","Heroin"
166,0,0,0,"golden82","Amsterdam2015","6/23/2017",5,673,"A+ Quality^Fast Shipping","Heroin"
167,0,0,0,"golden82","Amsterdam2015","6/23/2017",5,674,"A+ Quality^Fast Shipping","Heroin"
168,0,0,0,"goodboy28","Amsterdam2015","6/1/2017",5,154,"Discreet Package","Heroin"
169,0,0,0,"hobodan","Amsterdam2015","10/1/2017",5,156,"LEGIT. will order again.Quick.","Heroin"
170,5,0,5,"grasshopper","Amsterdam2015","5/15/2017",5,135,"Thank you, came in on the 2nd attempt. All good","Heroin"
171,6,0,6,"ChildSound","Amsterdam2015","11/9/2017",5,256,"all perfect, one of the best vendor on sr","Heroin"
172,2,0,2,"greenhills3","Amsterdam2015","9/18/2017",-5,57,"Never received my order, vendor acts like it's my fault. ","Heroin"
173,5,0,5,"jrcc","Amsterdam2015","10/15/2017",5,396,"All ok. Fast delivery and professional handling. Have made only good experiences. Can recommend it.","Heroin"
174,6,0,6,"ChildSound","Amsterdam2015","10/21/2017",5,37,"all perfect, one of the best vendor on sr","Heroin"
175,3,0,3,"Huaber56","Amsterdam2015","4/27/2017",5,313,"Nice envelope ","Heroin"
176,3,0,3,"grossbart","Amsterdam2015","11/22/2017",5,109,"great communication and quality product","Heroin"
177,16,0,16,"gtownmi1123","Amsterdam2015","10/3/2017",5,51,"great stealth, approximately 10 days to US, weight was nice, to IV users would recommend going with #4 quite a bit left behind after cooking...overall I'm happy, good looking 2015, solid vendor...bout to ck out if you offer #4!!!","Heroin"
178,2,0,2,"christiansouljaboi","Amsterdam2015","10/25/2017",5,78,"thank you","Heroin"
179,0,0,0,"jrcc","Amsterdam2015","10/24/2017",5,333,"All ok, a trustworthy business partner","Heroin"
180,2,0,2,"WundoMorph","Amsterdam2015","5/21/2017",5,110,"as always, thank you!","Heroin"
181,6,0,6,"kinimod","Amsterdam2015","11/23/2017",5,224,"ALL GREAT ! Very good stuff, fast shipping","Heroin"
182,1,-3,-2,"Sharpei","Amsterdam2015","11/18/2017",5,29,"You can trust them, never deceived","Heroin"
183,7,0,7,"wubbalubbadubdub","Amsterdam2015","5/6/2017",5,523,"My apologies for being late on feedback and releasing funds...receieved order 10 days after ordering.  Top notch product, good stealth, thank you very very much!","Heroin"
184,0,0,0,"cpanflao","Amsterdam2015","6/11/2017",5,263,"all ok as usual - fast delivery","Heroin"
185,3,0,3,"jrcc","Amsterdam2015","10/9/2017",5,307,"Great. Fast delivery. Material OK. I order again any time. Thx","Heroin"
186,3,0,3,"Sharpei","Amsterdam2015","10/6/2017",5,51,"Still serious, good packaging. Received in 4 days","Heroin"
187,5,0,5,"Crosby87","Amsterdam2015","8/25/2017",5,88,"always great service, thank you!","Heroin"
188,6,-1,5,"bisturi99","Amsterdam2015","8/26/2017",5,184,"good vendor, good experience but a little delay.","Heroin"
189,3,0,3,"bisturi99","Amsterdam2015","5/31/2017",5,377,"perfect","Heroin"
190,3,0,3,"Sharpei","Amsterdam2015","9/29/2017",5,54,"Still good vendor, received in 3 days","Heroin"
191,21,0,21,"4ndr3s999","Amsterdam2015","6/27/2017",5,92,"WELL...What i can say... Only one word , better two...THE BEST! Every time perfect stealth and good quality ! The best seller i ever know on any online Shopping Page(Darknet or normal web) ! RECOMMENDED 10000% Thanks Bro!See u soon for another PERFECT Buy!","Heroin"
192,0,0,0,"lordwood","Amsterdam2015","6/4/2017",5,317,"very reliable vendor","Heroin"
193,11,-2,9,"4ndr3s999","Amsterdam2015","5/12/2017",5,126,"Perfect SELLER ! NICE PRICE for the quality ! And too COMUNICATIVE PERSON ! If u have a problem or a question he answer u TOO FAST! 5 STARS SELLER ! I RECOMMEND (We become good Phartners) !","Heroin"
194,5,0,5,"Mooktor","Amsterdam2015","9/28/2017",5,109,"thank you very much. Seller cerieu and very good quality.","Heroin"
195,3,0,3,"MrBiggie123","Amsterdam2015","1/15/2018",5,195,"Perfect as allways !!","Cocaine"
196,5,0,5,"Mooktor","Amsterdam2015","10/7/2017",5,80,"Fast and very good quality. Thank you very much.","Cocaine"
197,3,0,3,"Ralphthedog","Amsterdam2015","10/15/2017",5,821,"great!","Cocaine"
198,3,0,3,"JonnyV","Amsterdam2015","1/15/2018",5,741,"The BEST !","Cocaine"
199,8,0,8,"craws","Amsterdam2015","11/27/2017",5,86,"Good Stuff, great stealth. Thank You .","Cocaine"
200,3,0,3,"PC666","Amsterdam2015","12/24/2017",5,356,"always perfect","Cocaine"
201,8,-2,6,"PC666","Amsterdam2015","5/9/2017",3.57,2324,"Perfection !!! Very good contact, very good packed, very fast delivery to polish. After the seller's mistake everything was repaired. I recommend 110% I will definitely be back","Cocaine"
202,2,0,2,"raoulduke","Amsterdam2015","4/25/2017",5,1001,"not sure it's 90% but still high quality, trusted vender and will buy again  ","Cocaine"
203,3,0,3,"PC666","Amsterdam2015","9/7/2017",5,506,"Perfect","Cocaine"
204,0,0,0,"MaitreOl","Amsterdam2015","6/8/2017",5,122,"Fast delivery","Cocaine"
205,3,0,3,"Sharpei","Amsterdam2015","11/25/2017",5,60,"Good vendor, fast, and serious","Cocaine"
206,6,0,6,"Pedrolino","Amsterdam2015","1/10/2018",5,46,"good stealth good quality quick delivery","Cocaine"
207,0,0,0,"jjfragg","Amsterdam2015","10/5/2017",5,123,"arrived v quick","Cocaine"
208,3,0,3,"recamie","Amsterdam2015","12/27/2017",5,73,"Perfect !!","Cocaine"
209,0,-1,-1,"Seaspan","Amsterdam2015","11/15/2017",5,72,"No feedback","Cocaine"
210,5,0,5,"lyco1921","Amsterdam2015","11/9/2017",5,91,"Fast, discreet, excellent.  Cheers!","Cocaine"
211,4,0,4,"recamie","Amsterdam2015","12/4/2017",5,32,"top service, top quality","Cocaine"
212,3,0,3,"swo0p3r","Amsterdam2015","4/17/2017",5,553,"Good stealth, first order, took 7 days","Cocaine"
213,0,0,0,"jjfragg","Amsterdam2015","10/17/2017",5,423,"VERY QUICK","Cocaine"
214,0,-2,-2,"McLovin1941ou812","Amsterdam2015","12/9/2017",5,146,"FIRE!","Cocaine"
215,3,0,3,"sanity","Amsterdam2015","11/29/2017",5,66,"good quality and fast dilivery","Cocaine"
216,14,0,14,"Reese1980","Amsterdam2015","12/18/2017",5,52,"Wow. Great product; really strong. Great packaging; looks just like business post. You'de never be able to guess whats inside. I'll definately be back for more. ","Cocaine"
217,3,0,3,"davis75","Amsterdam2015","9/5/2017",5,80,"Good stuff","Cocaine"
218,3,0,3,"log1sbobis","Amsterdam2015","11/26/2017",5,239,"Great vendor.","Cocaine"
219,3,0,3,"lolitademarthe","Amsterdam2015","12/24/2017",5,40,"Nice packaging, i didn't try the product yet, shipping took a little longer but it was christmas and nye","Cocaine"
220,9,0,9,"MattyMoo45","Amsterdam2015","10/25/2017",5,65,"Fantastic. Great quality and received in 2 days. Would highly recommend.","Cocaine"
221,3,0,3,"Sharpei","Amsterdam2015","10/6/2017",5,81,"Still serious, good packaging. Received in 4 days","Cocaine"
222,1,-3,-2,"Sharpei","Amsterdam2015","11/18/2017",5,45,"You can trust them, never deceived","Cocaine"
