"Buyer","Seller","Date","rating","price_USD","review_text","meta_category"
"Cello","acidboypcm","8/27/2017",-5,294,"Do NOT trust this guy, never received package and no replies! ","Weed"
"DesertEagle69","acidboypcm","10/3/2017",-5,1019,"No package, no response. Don't trust.","Weed"
"borisblyat914","acidboypcm","8/31/2017",-5,448,"No package and no messages back","Weed"
"cambodia2017","acidboypcm","5/25/2017",5,440,"very good thank you","Opium"
"32aB97","acidboypcm","8/24/2017",-5,433,"NEver received ored vendor never responds","Analgesics"
"swolenguns1","acidboypcm","6/27/2017",5,715,"Packaged well and shipped fast. Thumbs up!","Analgesics"
"wubbalubbadubdub","acidboypcm","6/5/2017",5,407,"Well, it took a couple weeks, but was well worth the wait.  You can't get the real deal in America and this is the real deal folks.  Still have to try it but the smell has been confirmed by friends.  Acidboy is a solidly good guy!","Opium"
"arye0007","acidboypcm","6/2/2017",4,482,"Better late than never","Opium"
"GoHobo909","acidboypcm","9/24/2017",-1,333,"I bought from him and payed for express delivery and it's been almost a month and I NEVER received it","Heroin"
"bobittNCHS","acidboypcm","9/19/2017",-5,272,"its been 28 days, nothing has arrived, no answers to messages","Tapentadol"
"LennySquiggs","acidboypcm","8/6/2017",-5,393,"i didn't recieve my delivery. Vendor will not respond to my messages. As of now, would not recommend you buy from them.","Loreazepam"
"32aB97","acidboypcm","8/29/2017",-5,236,"Order never received vendor never responds","Tramadol"
"interdose38","acidboypcm","6/10/2017",5,314,"Order arrived in good time, and the packaging was ingenious. Props to your creativity! ","Tapentadol"
"32aB97","acidboypcm","8/27/2017",-5,244,"Never received order vendor never replies ","Tramadol"
"32aB97","acidboypcm","9/5/2017",-5,300,"Order never received vendor never replies","Tramadol"
"freda154","acidboypcm","4/26/2017",5,702,"Exactly as decribed. Very happy!","Tapentadol"
"Jjrosk","acidboypcm","6/15/2017",5,733,"Good communication","Loreazepam"
"freda154","acidboypcm","6/16/2017",5,693,"Great customer service","Tapentadol"
"Battleship1","acidboypcm","5/14/2017",0,495,"Never got my stuff and didn't get confirmation of order being cancelled until way after I was supposed to get my stuff ","Tramadol"
"sexmachine","AliExpresssss","10/6/2017",5,65,"Fantastic stealth, speedy and prompt delivery. Thanks a million will order plenty more from this vendor!!!","Ecstasy"
"kikinimod","AliExpresssss","1/3/2018",5,111,"very good stuff, very fast delivery Great !","Heroin"
"MattyMoo45","AliExpresssss","12/5/2017",5,19,"Fantastic. Honest vendor.","Heroin"
"hollywood","AliExpresssss","9/25/2017",5,249,"Good stealth","Heroin"
"kikinimod","AliExpresssss","1/10/2018",5,199,"The stuff is really good and the shipping very fast. All good !","Heroin"
"Sharpei","AliExpresssss","9/22/2017",5,62,"Very good vendor ! i had problem with reception of my order, nerver receiveid. i wait a moment, and tell my problem to him. He responded to me vety quickly, very serious, and fix the problem in less 2 days. You can trut him, and place your orders !","Heroin"
"kinimod","AliExpresssss","12/4/2017",5,58,"product perfect !","Heroin"
"l3fts0ck","AliExpresssss","11/12/2017",5,39,"Arrived maybe a few days less than two weeks after ordered (I'm in the US so as expected) Product is legit. Will definitely order more.","Heroin"
"PortCityGuy72","AliExpresssss","12/18/2017",5,19,"Very honest and accommodating. Resolves any issues with speed and understanding. Best H vendor Ive found on three markets ","Heroin"
"kinimod","AliExpresssss","12/4/2017",5,115,"all perfect, like always !","Heroin"
"Milagre","AliExpresssss","9/4/2017",5,344,"Excellent Seller","Heroin"
"kinimod","AliExpresssss","10/6/2017",5,747,"fast delivery, very good stuff all perfect !","Heroin"
"Milagre","AliExpresssss","9/9/2017",5,395,"Excellent product, Great Professional!","Heroin"
"kavan","AliExpresssss","11/8/2017",5,88,"PERFECT !!!!!! Thanks . ","Heroin"
"Ashbury9999tess","AliExpresssss","10/9/2017",5,50,"Quick delivery.","Heroin"
"Dillbert84","AliExpresssss","12/7/2017",-5,42,"Use another vendor. This one is a scam. Ordered was shipped Dec 8th. I never received it and vendor refuses to do anything about it   AliExpress guarantees delivery unless youre a new customer. ","Heroin"
"kikinimod","AliExpresssss","9/8/2017",5,226,"Thanks ! All is just perfect !","Heroin"
"brandnewshape","AliExpresssss","1/8/2018",5,43,"PERFECT !","Heroin"
"brandnewshape","AliExpresssss","1/4/2018",5,45,"Perfect, as always !!! Top Seller !!!","Heroin"
"brandnewshape","AliExpresssss","12/9/2017",5,43,"well receivbed this time, thank you ! ","Heroin"
"brandnewshape","AliExpresssss","12/5/2017",5,57,"PERFECT ! As Always !","Heroin"
"brandnewshape","AliExpresssss","11/30/2017",5,106,"ORDER NEVER RECEIVED. SHIPPED A SECOND TIME BY THE SELLER BUT NEVER RECEIVED. BAD EXPERIENCE THIS TIME DESPITE MY TRUST IN THAT GREAT SELLER !!! TOO BAD...","Heroin"
"brandnewshape","AliExpresssss","11/2/2017",5,93,"PERFECT !","Heroin"
"azax666","AliExpresssss","12/17/2017",5,84,"Good vendor, fast communication & really good product. will come back for sure ;)","Heroin"
"azax666","AliExpresssss","12/5/2017",5,57,"fast shipping. Good quality. Nice order thkx","Heroin"
"mindtBuyer","AliExpresssss","11/12/2017",5,45,"quick delivery. awesome stuff. thanks bro!","Heroin"
"mindtBuyer","AliExpresssss","10/11/2017",5,68,"Super quick delivery. Thank you!","Heroin"
"balanovo","AliExpresssss","11/12/2017",5,113,"I am very happy! Excellent job! Thank you!","Heroin"
"balanovo","AliExpresssss","10/10/2017",5,48,"Simply perfect. I'm very happy. Reccomend it! ","Heroin"
"CaptComp","AliExpresssss","11/21/2017",5,201,"Good quality and fast shiipping","Heroin"
"andy63","AliExpresssss","1/25/2018",5,30,"my orfer was sent on friday and arrived in uk wednesday.","Heroin"
"andy63","AliExpresssss","11/28/2017",5,23,"No feedbacgod size cooks for iv very clean. will see you again for larger amountk.","Heroin"
"kinimod","AliExpresssss","10/31/2017",5,263,"Very good stuff !","Heroin"
"ChildSound","AliExpresssss","11/25/2017",-5,211,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
"ChildSound","AliExpresssss","11/25/2017",-5,191,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
"ChildSound","AliExpresssss","11/25/2017",-5,191,"not received, vendor says delayed, but its to long.....reship and too not received.......","Heroin"
"ChildSound","AliExpresssss","11/15/2017",5,137,"Perfect quality, fast shipping.... Very good vendor, know i have not received, but i know its come soon","Heroin"
"ChildSound","AliExpresssss","10/25/2017",5,286,"Perfect quality, food price!!! A perfect vendor. The order arrived me fast. When you buy by him, you are happy about this!!!","Heroin"
"ChildSound","AliExpresssss","10/21/2017",5,55,"all perfect, one of the best vendor on sr","Heroin"
"johnnyappleseed74","AliExpresssss","1/13/2018",5,32,"GREAT VENDOR! IM IN THE U.S. TOOK 14 DAYS :( BUT WORTH THE WAIT. WARNING TO MY U.S. PPL THIS IS H#3 NOT LIKE ANYTHING WE HAVE HERE, MUST BE BROKEN DOWN WITH ACID(vitamin C/citric/lemon juice) TO SHOOT. BUT QUALITY IS FUCKING RUTHLESS. BIG PROPS COMRADE ALI","Heroin"
"rvodden","AliExpresssss","11/7/2017",5,44,"Best on DN.","Heroin"
"JayTheMan001","AliExpresssss","9/29/2017",5,55,"Couldn't be happier! Thank you","Heroin"
"puffpaff","AliExpresssss","10/22/2017",5,77,"Very Good Stealth..fast shipped.. I come back!!","Heroin"
"hilltribe","AliExpresssss","6/29/2017",3,180,"is good but i need stronger, needs 4 working days to Austria maybe you can make me a offer with more strong.","Heroin"
"MattyMoo45","AliExpresssss","11/7/2017",5,47," Great quality. Great deal. Excellent vendor. Highly recommended. :-)","Heroin"
"kikinimod","AliExpresssss","9/18/2017",5,417,"very good !","Heroin"
"kikinimod","AliExpresssss","12/27/2017",5,85,"All very very good ! I recommand !","Heroin"
"kinimod","AliExpresssss","10/16/2017",5,288,"All perfect like usual ! You're the best on the SR !","Heroin"
"kikinimod","AliExpresssss","9/29/2017",5,236,"all good: stuff very good value for money, fast shipping, nice seller which communicates! I definitely recommend!","Heroin"
"kikinimod","AliExpresssss","10/1/2017",5,77,"tip top !","Heroin"
"Volkmann220369","AliExpresssss","12/26/2017",5,22,"Good Stuff, fast delivery !!! ","Heroin"
"kinimod","AliExpresssss","1/6/2018",5,61,"All perfect I highly recommand !","Heroin"
"kinimod","AliExpresssss","11/17/2017",5,136,"just perfect !","Cocaine"
"PortCityGuy72","AliExpresssss","11/8/2017",5,46,"Fast shipping but crushed on arrival","Cocaine"
"schmidt","AliExpresssss","12/6/2017",5,82,"excellent","Cocaine"
"kinimod","AliExpresssss","11/11/2017",5,159,"everything perfect stuff & price, timing","Cocaine"
"moxxnation82","AliExpresssss","11/30/2017",5,109,"nice and quick.","Cocaine"
"mindtBuyer","AliExpresssss","10/11/2017",5,108,"Fast delivery. Smells nice. Thank you! ","Cocaine"
"kinimod","AliExpresssss","11/1/2017",5,230,"Everything perfect, as usual","Cocaine"
"brandnewshape","AliExpresssss","11/2/2017",5,75,"Perfect !","Cocaine"
"power88","AliExpresssss","11/9/2017",5,73,"all good ","Cocaine"
"user1234321","AliExpresssss","10/8/2017",5,120,"no doubt best seller quick delivery this vendor is a legend with good product ","Cocaine"
"schmidt","AliExpresssss","1/11/2018",5,40,"excellent","Cocaine"
"xanadu338","AliExpresssss","9/17/2017",5,90,"Arrived in 8 days. Pleased so far.","Cocaine"
"kinimod","AliExpresssss","1/16/2018",5,88,"cool !","Cocaine"
"ministraspirmininkas","AliExpresssss","11/10/2017",5,50,"Good!","Cocaine"
"midnightoker420","AliExpresssss","9/20/2017",5,398,"This was the best experience I have had on the road yet. Seller is extremely responsive and package came very discreetinyl wrapped in 2 days! No funny businness and fatted the hell out of it. Bless this man.","Cocaine"
"schmidt","AliExpresssss","11/6/2017",5,146,"all fine, good contact!","Cocaine"
"schmidt","AliExpresssss","11/22/2017",5,129,"great contact","Cocaine"
"guy1961","AliExpresssss","9/2/2017",-5,227,"paid for product never came and vendor does not answer any message , this vendor is a scammer never trust this vendor again.","Cocaine"
"schmidt","AliExpresssss","11/28/2017",5,107,"all top","Cocaine"
"schmidt","AliExpresssss","12/18/2017",5,85,"excellent as always","Cocaine"
"schmidt","AliExpresssss","10/23/2017",5,179,"excellent seller, fast delivery, thank you!","Cocaine"
"puffpaff","AliExpresssss","10/30/2017",-1,173," real bad action","Cocaine"
"anonymous31","AliExpresssss","12/3/2017",5,29,"Serious and honest seller","Cocaine"
"d723ks8","AliExpresssss","10/19/2017",5,59,"Perfect","Cocaine"
"darkium","AliExpresssss","10/10/2017",-5,282,"fast and great","Cocaine"
"darkium","AliExpresssss","10/31/2017",-5,214,"never received","Cocaine"
"hybrid101","AliExpresssss","10/3/2017",5,491,"Top quality shit. good stealth","Cocaine"
"kinimod","AliExpresssss","12/8/2017",5,69,"Stuff very good, like always. AliExpressss is understanding in case of problems and manages to find a solution","Cocaine"
"kikinimod","AliExpresssss","10/3/2017",5,244,"all very good !","Cocaine"
"kukoc7","AliExpresssss","11/26/2017",5,36,"Packaging really good, delivery time really fast and coke good for the price !! Great professional ","Cocaine"
"Ligabue01","AliExpresssss","10/24/2017",5,96,"fast shipment","Cocaine"
"karbonkel","AliExpresssss","12/28/2017",5,117,"quick and good packaging","Cocaine"
"Malex","AliExpresssss","9/24/2017",5,88,"Fast delivery. Perfect vendor!","Cocaine"
"Sharpei","AliExpresssss","9/22/2017",5,89,"Very good vendor ! i had problem with reception of my order, nerver receiveid. i wait a moment, and tell my problem to him. He responded to me vety quickly, very serious, and fix the problem in less 2 days. You can trut him, and place your orders !","Cocaine"
"MattyMoo45","AliExpresssss","12/5/2017",5,28,"Fantastic. Honest and reliable vendor.","Cocaine"
"AL666","AliExpresssss","10/23/2017",5,27,"good vendor,fast delivery","MDMA"
"kormakunt","AliExpresssss","12/17/2017",5,19,"Thank you. Took about 2 weeks to arrived over christmas.  Discreetly packaged.  Yet to sample goods ","MDMA"
"Deerfield","AliExpresssss","11/2/2017",5,58,"Nice guy","MDMA"
"Microdemon","AliExpresssss","6/17/2017",5,187,"Quick delivery, Stealth 12/10. Great quality.","MDMA"
"BabaoRhum","AliExpresssss","12/6/2017",-5,13,"SCAMMER","MDMA"
"lysergikhaze","AliExpresssss","11/23/2017",5,19,"good product and fast shipment","MDMA"
"GhostLucy","AliExpresssss","11/20/2017",-1,86,"Scam. Never shipped anything. ","MDMA"
"chris1776","AliExpresssss","11/26/2017",5,97,"Good Stealth/Weight, Tested","MDMA"
"gustavos","AliExpresssss","12/28/2017",5,11,"You get what you pay for! Very good product, stealth was great +++","MDMA"
"moxxnation82","AliExpresssss","11/19/2017",5,26,"2dd really really nice stuff","MDMA"
"sexycouple","AliExpresssss","12/17/2017",3,9,"great communication...... still not recieved yet after 25+ days","MDMA"
"BigDawgs","AliExpresssss","11/25/2017",4,130,"Ordered Nov 25th and just got my pack after a re-ship of half my original order. But the product IS Excellent! Very impressed! THANK YOU! Amazing MDMA!","MDMA"
"jackal","AmericanPlug","6/24/2017",5,168,"fast shipping     a+ vendor","Weed"
"Tortilla69","AmericanPlug","6/29/2017",5,479,"great vendor","Xanax"
"JFP35410","Amsterdam2015","1/5/2018",5,80,"Serious seller with strong quality! thank you","Heroin"
"bloodline8888","Amsterdam2015","1/8/2018",4,49,"Not as good quality as usual.","Heroin"
"bloodline8888","Amsterdam2015","1/8/2018",5,49,"Quality isnt as good as first order","Heroin"
"Mooktor","Amsterdam2015","1/11/2018",5,29,"Fast and very good product, like abitude","Heroin"
"Sharpei","Amsterdam2015","9/2/2017",5,49,"Very good product, vendor serious","Heroin"
"PortCityGuy72","Amsterdam2015","10/16/2017",-5,39,"Extremely untrustworthy vendor. Even went as far as to say he communicated when there was none. Have found two other very reliable vendors with top quality product. Feel free to pm me for recommendations but definitely stay away from this guy. ","Heroin"
"bloodline8888","Amsterdam2015","12/19/2017",5,25,"good stuff, fast shipping","Heroin"
"debsoner","Amsterdam2015","12/4/2017",5,19,"best there is.. and amazing shipping method ;)","Heroin"
"silverfish393","Amsterdam2015","5/9/2017",5,510,"delivery took a bit longer than usual, but as always good stuff","Heroin"
"silverfish393","Amsterdam2015","5/25/2017",5,2149,"All perfect, I love this vendor.","Heroin"
"StandingOvation","Amsterdam2015","11/29/2017",5,176,"Thanks for all mate!","Heroin"
"stopnu","Amsterdam2015","5/22/2017",5,202,"very fast delivery. secure mail. and good stuff. we're happy. thanks","Heroin"
"MKU1986","Amsterdam2015","10/19/2017",5,143,"The best!","Heroin"
"MKU1986","Amsterdam2015","10/25/2017",5,659,"The best there is!","Heroin"
"asilva","Amsterdam2015","11/26/2017",5,23,"Top service as usual. Can't be better !","Heroin"
"kavan","Amsterdam2015","1/25/2018",5,68,"Delivery Speed:As always excellent ,Product Quality:Really very poor quality,it is not pure","Heroin"
"kavan","Amsterdam2015","1/13/2018",5,54,"Goede kwalitatieve producten + Snelle levering...thank you so much ","Heroin"
"kavan","Amsterdam2015","11/19/2017",5,100," Excellent, thank you","Heroin"
"Siddharta","Amsterdam2015","1/21/2018",5,20,"Great stuff, fast delivery and perfect stealth, as always. :)","Heroin"
"Siddharta","Amsterdam2015","6/5/2017",5,81,"Fast delivery, perfect stealth, all good :)","Heroin"
"AL666","Amsterdam2015","10/21/2017",5,134,"perfect as usual! i have buy many time with this vendor and everytime perfect! good product,good stealth, fast delivery! you can trust him! will buy again! thanks","Heroin"
"Siddharta","Amsterdam2015","10/7/2017",5,50,"Great stuff, delivery in time and impressive stealth.","Heroin"
"jamezexe43","Amsterdam2015","9/27/2017",5,57,"Super stealth, good quality for the price. came in 15 days instead of 14, because of thanksgiving","Heroin"
"kavan","Amsterdam2015","1/13/2018",5,16,"Perfect Man ,Thank You","Heroin"
"donfresch","Amsterdam2015","1/22/2018",5,21,"very good very fast  excellent","Heroin"
"kavan","Amsterdam2015","10/21/2017",5,136,"Dank je wel ,echt super ...","Heroin"
"Doolittle934","Amsterdam2015","6/28/2017",5,87,"Wow!  Really impressed, super fast shipping, awesome stealth, high quality.  I highly recommend!  A++","Heroin"
"Rudy100","Amsterdam2015","5/29/2017",-5,933,"Wasn't happy with my purchase it was also quick","Heroin"
"DrainingTheSwamp","Amsterdam2015","1/14/2018",5,137,"The best on SR!","Heroin"
"lee8419","Amsterdam2015","1/7/2018",5,13,"Arrived in UK after just 2 days. Great seller good gear would def buy again","Heroin"
"brandnewshape","Amsterdam2015","11/2/2017",5,113,"Order 50% Re-shipped and well received this time !","Heroin"
"StandingOvation","Amsterdam2015","11/20/2017",5,452,"All ok as usual! Thanks mate!","Heroin"
"kavan","Amsterdam2015","11/30/2017",5,82,"Realy Fast Delivery And Excellent quality Thanks","Heroin"
"fagerino","Amsterdam2015","5/25/2017",5,352,"very reliable, helpful & a speedy delivery!","Heroin"
"Heroine","Amsterdam2015","6/7/2017",5,80,"Fast shipping, this time is different batch than ast time, Not as good, quite harsh smoke, really dark in colour, gets you high but really rough smoke","Heroin"
"JayTheMan001","Amsterdam2015","9/28/2017",5,106,"Thank you bro","Heroin"
"fuinha32","Amsterdam2015","4/23/2017",5,358,"very good","Heroin"
"jrcc","Amsterdam2015","1/3/2018",5,182,"I can only recommend, great service. Good quality of the goods.","Heroin"
"galfieg","Amsterdam2015","11/27/2017",5,83,"excellent price and quality.","Heroin"
"winston1666","Amsterdam2015","4/5/2017",5,197,"great product and service thanks!!!","Heroin"
"scarzo","Amsterdam2015","12/17/2017",5,101,"Fast delivery. Good quality.","Heroin"
"WundoMorph","Amsterdam2015","5/6/2017",5,148,"will buy again, 10 days to US. Thanks!","Heroin"
"ziyouliu1","Amsterdam2015","6/24/2017",5,300,"a comfortable vendor. the best shipping","Heroin"
"oxyfiend","Amsterdam2015","8/11/2017",5,59,"Just recieved package, everything wound up perfect. It took a bit longer than expected at 16 days, but i suppose thats normal coming all the way from the netherlands to the US. Great vendor, def will be ordering more soon.","Heroin"
"Heroine","Amsterdam2015","5/8/2017",5,145,"Received  days after ordering. Got my gouch on ecent quality","Heroin"
"golden82","Amsterdam2015","6/23/2017",5,673,"A+ Quality^Fast Shipping","Heroin"
"golden82","Amsterdam2015","6/23/2017",5,674,"A+ Quality^Fast Shipping","Heroin"
"goodboy28","Amsterdam2015","6/1/2017",5,154,"Discreet Package","Heroin"
"hobodan","Amsterdam2015","10/1/2017",5,156,"LEGIT. will order again.Quick.","Heroin"
"grasshopper","Amsterdam2015","5/15/2017",5,135,"Thank you, came in on the 2nd attempt. All good","Heroin"
"ChildSound","Amsterdam2015","11/9/2017",5,256,"all perfect, one of the best vendor on sr","Heroin"
"greenhills3","Amsterdam2015","9/18/2017",-5,57,"Never received my order, vendor acts like it's my fault. ","Heroin"
"jrcc","Amsterdam2015","10/15/2017",5,396,"All ok. Fast delivery and professional handling. Have made only good experiences. Can recommend it.","Heroin"
"ChildSound","Amsterdam2015","10/21/2017",5,37,"all perfect, one of the best vendor on sr","Heroin"
"Huaber56","Amsterdam2015","4/27/2017",5,313,"Nice envelope ","Heroin"
"grossbart","Amsterdam2015","11/22/2017",5,109,"great communication and quality product","Heroin"
"gtownmi1123","Amsterdam2015","10/3/2017",5,51,"great stealth, approximately 10 days to US, weight was nice, to IV users would recommend going with #4 quite a bit left behind after cooking...overall I'm happy, good looking 2015, solid vendor...bout to ck out if you offer #4!!!","Heroin"
"christiansouljaboi","Amsterdam2015","10/25/2017",5,78,"thank you","Heroin"
"jrcc","Amsterdam2015","10/24/2017",5,333,"All ok, a trustworthy business partner","Heroin"
"WundoMorph","Amsterdam2015","5/21/2017",5,110,"as always, thank you!","Heroin"
"kinimod","Amsterdam2015","11/23/2017",5,224,"ALL GREAT ! Very good stuff, fast shipping","Heroin"
"Sharpei","Amsterdam2015","11/18/2017",5,29,"You can trust them, never deceived","Heroin"
"wubbalubbadubdub","Amsterdam2015","5/6/2017",5,523,"My apologies for being late on feedback and releasing funds...receieved order 10 days after ordering.  Top notch product, good stealth, thank you very very much!","Heroin"
"cpanflao","Amsterdam2015","6/11/2017",5,263,"all ok as usual - fast delivery","Heroin"
"jrcc","Amsterdam2015","10/9/2017",5,307,"Great. Fast delivery. Material OK. I order again any time. Thx","Heroin"
"Sharpei","Amsterdam2015","10/6/2017",5,51,"Still serious, good packaging. Received in 4 days","Heroin"
"Crosby87","Amsterdam2015","8/25/2017",5,88,"always great service, thank you!","Heroin"
"bisturi99","Amsterdam2015","8/26/2017",5,184,"good vendor, good experience but a little delay.","Heroin"
"bisturi99","Amsterdam2015","5/31/2017",5,377,"perfect","Heroin"
"Sharpei","Amsterdam2015","9/29/2017",5,54,"Still good vendor, received in 3 days","Heroin"
"4ndr3s999","Amsterdam2015","6/27/2017",5,92,"WELL...What i can say... Only one word , better two...THE BEST! Every time perfect stealth and good quality ! The best seller i ever know on any online Shopping Page(Darknet or normal web) ! RECOMMENDED 10000% Thanks Bro!See u soon for another PERFECT Buy!","Heroin"
"lordwood","Amsterdam2015","6/4/2017",5,317,"very reliable vendor","Heroin"
"4ndr3s999","Amsterdam2015","5/12/2017",5,126,"Perfect SELLER ! NICE PRICE for the quality ! And too COMUNICATIVE PERSON ! If u have a problem or a question he answer u TOO FAST! 5 STARS SELLER ! I RECOMMEND (We become good Phartners) !","Heroin"
"Mooktor","Amsterdam2015","9/28/2017",5,109,"thank you very much. Seller cerieu and very good quality.","Heroin"
"MrBiggie123","Amsterdam2015","1/15/2018",5,195,"Perfect as allways !!","Cocaine"
"Mooktor","Amsterdam2015","10/7/2017",5,80,"Fast and very good quality. Thank you very much.","Cocaine"
"Ralphthedog","Amsterdam2015","10/15/2017",5,821,"great!","Cocaine"
"JonnyV","Amsterdam2015","1/15/2018",5,741,"The BEST !","Cocaine"
"craws","Amsterdam2015","11/27/2017",5,86,"Good Stuff, great stealth. Thank You .","Cocaine"
"PC666","Amsterdam2015","12/24/2017",5,356,"always perfect","Cocaine"
"PC666","Amsterdam2015","5/9/2017",3.57,2324,"Perfection !!! Very good contact, very good packed, very fast delivery to polish. After the seller's mistake everything was repaired. I recommend 110% I will definitely be back","Cocaine"
"raoulduke","Amsterdam2015","4/25/2017",5,1001,"not sure it's 90% but still high quality, trusted vender and will buy again  ","Cocaine"
"PC666","Amsterdam2015","9/7/2017",5,506,"Perfect","Cocaine"
"MaitreOl","Amsterdam2015","6/8/2017",5,122,"Fast delivery","Cocaine"
"Sharpei","Amsterdam2015","11/25/2017",5,60,"Good vendor, fast, and serious","Cocaine"
"Pedrolino","Amsterdam2015","1/10/2018",5,46,"good stealth good quality quick delivery","Cocaine"
"jjfragg","Amsterdam2015","10/5/2017",5,123,"arrived v quick","Cocaine"
"recamie","Amsterdam2015","12/27/2017",5,73,"Perfect !!","Cocaine"
"Seaspan","Amsterdam2015","11/15/2017",5,72,"No feedback","Cocaine"
"lyco1921","Amsterdam2015","11/9/2017",5,91,"Fast, discreet, excellent.  Cheers!","Cocaine"
"recamie","Amsterdam2015","12/4/2017",5,32,"top service, top quality","Cocaine"
"swo0p3r","Amsterdam2015","4/17/2017",5,553,"Good stealth, first order, took 7 days","Cocaine"
"jjfragg","Amsterdam2015","10/17/2017",5,423,"VERY QUICK","Cocaine"
"McLovin1941ou812","Amsterdam2015","12/9/2017",5,146,"FIRE!","Cocaine"
"sanity","Amsterdam2015","11/29/2017",5,66,"good quality and fast dilivery","Cocaine"
"Reese1980","Amsterdam2015","12/18/2017",5,52,"Wow. Great product; really strong. Great packaging; looks just like business post. You'de never be able to guess whats inside. I'll definately be back for more. ","Cocaine"
"davis75","Amsterdam2015","9/5/2017",5,80,"Good stuff","Cocaine"
"log1sbobis","Amsterdam2015","11/26/2017",5,239,"Great vendor.","Cocaine"
"lolitademarthe","Amsterdam2015","12/24/2017",5,40,"Nice packaging, i didn't try the product yet, shipping took a little longer but it was christmas and nye","Cocaine"
"MattyMoo45","Amsterdam2015","10/25/2017",5,65,"Fantastic. Great quality and received in 2 days. Would highly recommend.","Cocaine"
"Sharpei","Amsterdam2015","10/6/2017",5,81,"Still serious, good packaging. Received in 4 days","Cocaine"
"Sharpei","Amsterdam2015","11/18/2017",5,45,"You can trust them, never deceived","Cocaine"
"dekhengst","Amsterdam2015","6/16/2017",5,385,"fast shipping nice taste thanx","Cocaine"
"dekhengst","Amsterdam2015","6/25/2017",5,382,"nice stuff again thanx","Cocaine"
"dekhengst","Amsterdam2015","6/20/2017",5,372,"wow i like it very fast delivery","Cocaine"
"dekhengst","Amsterdam2015","8/5/2017",5,366,"quick as always","Cocaine"
"stonecold1962","Amsterdam2015","6/1/2017",-5,1831,"Perfect! Incredible stealth ","Cocaine"
"Unilav","Amsterdam2015","6/19/2017",4,172,"Wow, speedy delivery. I thought I'd have to wait a couple more days.  very good service and we'll packaged. product needs a 2nd wash up. Slow flash and not that strong.  ok though. ","Cocaine"
"recamie","Amsterdam2015","12/11/2017",5,30,"perfect guys !!","Cocaine"
"dofus59","Amsterdam2015","9/26/2017",5,120,"Received, nothing to say 100%","Cocaine"
"megamoonmoose","Amsterdam2015","1/12/2018",5,25,"Good stuff. could be better if in single rocks though as slightly crumbled.","Cocaine"
"MKU1986","Amsterdam2015","10/24/2017",5,95,"The best there is!","Cocaine"
"deB0rah2","Amsterdam2015","11/26/2017",5,113,"Great Job! Well done and please, stay in same quality and service! Thank you!","Cocaine"
"Thullen7","Amsterdam2015","11/13/2017",5,83,"Next day delivery and perfect quality. This is how its done. Thnx ","Cocaine"
"deB0rah2","Amsterdam2015","1/16/2018",5,98,"Perfect!","Cocaine"
"tailor75","Amsterdam2015","1/28/2018",5,233,"Perfect !","Cocaine"
"deB0rah2","Amsterdam2015","1/10/2018",5,80,"perfect","Cocaine"
"deB0rah2","Amsterdam2015","1/7/2018",5,33,"Excellent!","Cocaine"
"Phi009","Amsterdam2015","10/5/2017",5,381,"Speedy and stealthy. Excellent quality","Cocaine"
"deB0rah2","Amsterdam2015","12/1/2017",5,92,"Perfect! Thank you!","Cocaine"
"lototherdbonion","Amsterdam2015","5/9/2017",4.17,1553,"perfect!","Cocaine"
"wonderland1999","Amsterdam2015","8/26/2017",-5,123,"very fast, good stealth, good product thank you ","Cocaine"
"lototherdbonion","Amsterdam2015","6/13/2017",5,705,"everything perfect","Cocaine"
"BlueToffee","Amsterdam2015","9/11/2017",5,541,"Top marks and top vendor","Cocaine"
"brandnewshape","Amsterdam2015","11/2/2017",5,64,"Order Never Received so, SELLER has re-shipped 50% of the order, well received this time ! Cool ! THANX","Cocaine"
"DeepForest","Amsterdam2015","12/3/2017",5,42,"Perfect","Cocaine"
"Demonpico","Amsterdam2015","5/31/2017",5,545,"Good and fast","Cocaine"
"Denfedekat","Amsterdam2015","10/14/2017",5,61,"Perfect.","Cocaine"
"silverfish393","Amsterdam2015","5/9/2017",5,389,"delivery took a bit longer than usual, but as always good stuff","Cocaine"
"MKU1986","Amsterdam2015","10/16/2017",5,94,"Everywhere Amsterdam2k15 is, quality and service are on top! Thanks again mate!","Cocaine"
"testsa12","Amsterdam2015","10/2/2017",5,154,"6/5 top service","Cocaine"
"lazybernard8","Amsterdam2015","9/25/2017",5,78,"Perfect","Cocaine"
"Bojangles","Amsterdam2015","11/27/2017",5,242,"1 week delivery, awesome stuff","Cocaine"
"dirkdiggler24","Amsterdam2015","11/11/2017",5,162,"Product looks great, quick delivery","Cocaine"
"dkas111","Amsterdam2015","6/17/2017",-5,1200,"top notch!! 10/10.","Cocaine"
"tailor75","Amsterdam2015","12/18/2017",5,51,"Perfect !","Cocaine"
"AL666","Amsterdam2015","11/27/2017",5,30,"really good vendor! you can trust him for sure ! fast delivery good product ,good stealth!","Cocaine"
"pintkeeper","Amsterdam2015","10/16/2017",-5,178,"This seller is a piece of shit. Messaged him 4 times no response. Sells on Dream Mkt also. Stay away from this fuckin goof. Said he would look in to my order.......YEAH WHEN.....NEXT FUCKIN YEAR. Do yourself a favor and stay clear.","Cocaine"
